code,name,country,city
FEL,Fürstenfeldbruck Air Base,Germany,Fürstenfeldbruck
FIK,Finke Airport,Australia,Finke
FKB,Karlsruhe Baden-Baden Airport,Germany,Baden-Baden
FKJ,Fukui Airport,Japan,Maruoka
FKS,Fukushima Airport,Japan,Sukagawa
FLF,Flensburg-Schäferhaus Airport,Germany,Flensburg
FLS,Flinders Island Airport,Australia,Flinders Island
FLY,Finley Airport,Australia,Finley
FMM,Memmingen Allgau Airport,Germany,Memmingen
FMO,Münster Osnabrück Airport,Germany,Münster
FNB,Neubrandenburg Airport,Germany,Neubrandenburg
FOC,Fuzhou Changle International Airport,China,Fuzhou
FOT,Forster (Wallis Is) Airport,Australia,Forster
FRA,Frankfurt am Main Airport,Germany,Frankfurt am Main
FRB,Forbes Airport,Australia,Forbes
FRZ,Fritzlar Airport,Germany,Fritzlar
FSL,Fossil Downs Airport,Australia,Fossil Downs Station
FSZ,Mt. Fuji Shizuoka Airport,Japan,Makinohara / Shimada
FUG,Fuyang Xiguan Airport,China,Fuyang
FUJ,Fukue Airport,Japan,Goto
FUK,Fukuoka Airport,Japan,Fukuoka
FUO,Foshan Shadi Airport,China,Foshan
FVR,Oombulgurri Airport,Australia,Forrest River Mission
FYJ,Dongji Aiport,China,Fuyuan
FYN,Fuyun Koktokay Airport,China,Fuyun
GAJ,Yamagata Airport,Japan,Yamagata
GBW,Ginbata Airport,Australia,Ginbata
GDD,Gordon Downs Airport,Australia,Gordon Downs
GEE,Georgetown (Tas) Airport,Australia,George Town
GET,Geraldton Airport,Australia,Geraldton
GEX,Geelong Airport,Australia,Geelong
GFE,Grenfell Airport,Australia,Grenfell
GFF,Griffith Airport,Australia,Griffith
GFN,Grafton Airport,Australia,Grafton
GHF,Giebelstadt Airport,Germany,Giebelstadt
GHN,Guanghan Airport,China,Civil Aviation Flight University of China
GKE,Geilenkirchen Air Base,Germany,Gangelt
GKL,Great Keppel Is Airport,Australia,Great Keppel Island
GLI,Glen Innes Airport,Australia,Glen Innes
GLT,Gladstone Airport,Australia,Gladstone
GMP,Gimpo International Airport,South Korea,Seoul
GMQ,Golog Maqin Airport,China,Golog
GNI,Lyudao Airport,Taiwan,Lyudao
GOO,Goondiwindi Airport,Australia,Goondiwindi
GOQ,Golmud Airport,China,Golmud
GOV,Gove Airport,Australia,Nhulunbuy
GPD,Mount Gordon Airport,Australia,Mount Gordon Mine
GSC,Gascoyne Junction Airport,Australia,Gascoyne Junction
GSN,Mount Gunson Airport,Australia,Mount Gunson
GTE,Groote Eylandt Airport,Australia,Groote Eylandt
GTI,Rügen Airport,Germany,Rügen
GUH,Gunnedah Airport,Australia,Gunnedah
GUL,Goulburn Airport,Australia,Goulburn
GWT,Westerland Sylt Airport,Germany,Westerland
GXH,Gannan Xiahe Airport,China,Xiahe
GYP,Gympie Airport,Australia,Gympie
GYS,Guangyuan Airport,China,Guangyuan
GYU,Guyuan Liupanshan Airport,China,Guyuan
HAC,Hachijojima Airport,Japan,Hachijojima
HAJ,Hannover Airport,Germany,Hannover
HAK,Haikou Meilan International Airport,China,Haikou
HAM,Hamburg Airport,Germany,Hamburg
HBA,Hobart International Airport,Australia,Hobart
HCJ,Hechi Jinchengjiang Airport,China,Hechi
HCN,Hengchun Airport,Taiwan,Hengchung
HDF,Heringsdorf Airport,Germany,Heringsdorf
HDG,Handan Airport,China,Handan
HDY,Hat Yai International Airport,Thailand,Hat Yai
HEI,Heide-Büsum Airport,Germany,Büsum
HEK,Heihe Airport,China,Heihe
HET,Baita International Airport,China,Hohhot
HFE,Hefei Luogang International Airport,China,Hefei
HGH,Hangzhou Xiaoshan International Airport,China,Hangzhou
HGL,Helgoland-Düne Airport,Germany,Helgoland
HGN,Mae Hong Son Airport,Thailand,Mae Hong Son
HHE,Hachinohe Airport,Japan,Hachinohe
HHN,Frankfurt-Hahn Airport,Germany,Frankfurt am Main
HHQ,Hua Hin Airport,Thailand,Hua Hin
HIA,Lianshui Airport,China,Huai'an
HID,Horn Island Airport,Australia,Horn Island
HIJ,Hiroshima Airport,Japan,Hiroshima
HIN,Sacheon Air Base/Airport,South Korea,Sacheon
HIW,Hiroshimanishi Airport,Japan,Hiroshima
HJJ,Zhijiang Airport,China,Huaihua
HKD,Hakodate Airport,Japan,Hakodate
HKT,Phuket International Airport,Thailand,Phuket
HLD,Dongshan Airport,China,Hailar
HLH,Ulanhot Airport,China,Ulanhot
HLL,Hillside Airport,Australia,Hillside
HLS,St Helens Airport,Australia,St Helens
HLT,Hamilton Airport,Australia,Hamilton
HLV,Helenvale Airport,Australia,Helenvale
HMI,Hami Airport,China,Hami
HMY,Seosan Air Base,South Korea,Seosan
HNA,Hanamaki Airport,Japan,Hanamaki
HND,Tokyo Haneda International Airport,Japan,Tokyo
HNY,Hengyang Nanyue Airport,China,Hengyang
HOK,Hooker Creek Airport,Australia,Lajamanu
HOO,Nhon Co Airfield,Vietnam,Quang Duc
HOQ,Hof-Plauen Airport,Germany,Hof
HPE,Hope Vale Airport,Australia,Hope Vale
HPG,Shennongjia Hongping Airport,China,Shennongjia
HPH,Cat Bi International Airport,Vietnam,Haiphong
HRB,Taiping Airport,China,Harbin
HSC,Shaoguan Guitou Airport,China,Shaoguan
HSG,Saga Airport,Japan,Saga
HSJ,Shangjie Airport,China,Zhengzhou
HSM,Horsham Airport,Australia,Horsham
HSN,Zhoushan Airport,China,Zhoushan
HSZ,Hsinchu Air Base,Taiwan,Hsinchu City
HTI,Hamilton Island Airport,Australia,Hamilton Island
HTN,Hotan Airport,China,Hotan
HTR,Hateruma Airport,Japan,Hateruma
HTT,Huatugou Airport,China,Mengnai
HUI,Phu Bai Airport,Vietnam,Hue
HUN,Hualien Airport,Taiwan,Hualien City
HUO,Holingol Huolinhe Airport,China,Holingol
HUZ,Huizhou Airport,China,Huizhou
HVB,Hervey Bay Airport,Australia,Hervey Bay
HWK,Wilpena Pound Airport,Australia,Hawker
HXD,Delingha Airport,China,Delingha
HXX,Hay Airport,Australia,Hay
HYN,Huangyan Luqiao Airport,China,Huangyan
HZG,Hanzhong Chenggu Airport,China,Hanzhong
HZH,Liping Airport,China,Liping
IBR,Hyakuri Airport,Japan,Omitama
ICN,Incheon International Airport,South Korea,Seoul
IEJ,Ie Jima Airport,Japan,Ie
IES,Riesa-Göhlis Airport,Germany,Riesa
IFL,Innisfail Airport,Australia,Innisfail
IGH,Ingham Airport,Australia,Ingham
IGS,Ingolstadt Manching Airport,Germany,Manching
IKI,Iki Airport,Japan,Iki
INC,Yinchuan Airport,China,Yinchuan
INJ,Injune Airport,Australia,Injune
IQM,Qiemo Yudu Airport,China,Qiemo
IQN,Qingyang Airport,China,Qingyang
IRG,Lockhart River Airport,Australia,Lockhart River
ISA,Mount Isa Airport,Australia,Mount Isa
ISG,New Ishigaki Airport,Japan,Ishigaki
ITM,Osaka International Airport,Japan,Osaka
IVR,Inverell Airport,Australia,Inverell
IVW,Inverway Airport,Australia,Inverway
IWJ,Iwami Airport,Japan,Masuda
IWK,Iwakuni Marine Corps Air Station,Japan,Iwakuni
IZO,Izumo Airport,Japan,Izumo
JAD,Perth Jandakot Airport,Australia,Perth
JDG,Jeongseok Airport,South Korea,Jeju Island
JDZ,Jingdezhen Airport,China,Jingdezhen
JGD,Jiagedaqi Airport,China,Jiagedaqi
JGN,Jiayuguan Airport,China,Jiayuguan
JGS,Jinggangshan Airport,China,Ji'an
JHG,Xishuangbanna Gasa Airport,China,Jinghong
JHQ,Shute Harbour Airport,Australia,Proserpine
JIC,Jinchuan Airport,China,Jinchang
JIL,Jilin Airport,China,Jilin
JIQ,Qianjiang Wulingshan Airport,China,Qianjiang
JIU,Jiujiang Lushan Airport,China,Jiujiang
JJN,Quanzhou Jinjiang International Airport,China,Quanzhou
JMJ,Lancang Jingmai Airport,China,Lancang Lahu Autonomous County
JMU,Jiamusi Airport,China,Jiamusi
JNG,Jining Qufu Airport,China,Jining
JNZ,Jinzhou Airport,China,Jinzhou
JSJ,Jiansanjiang Airport,China,Jiansanjiang
JUH,Jiuhuashan Airport,China,Chizhou
JUI,Juist Airport,Germany,Juist
JUZ,Quzhou Airport,China,Quzhou
JXA,Jixi Xingkaihu Airport,China,Jixi
JZH,Jiuzhai Huanglong Airport,China,Jiuzhaigou
KAG,Gangneung Airport (K-18),South Korea,Gangneung
KAX,Kalbarri Airport,Australia,Kalbarri
KBB,Kirkimbie Station Airport,Australia,Kirkimbie
KBD,Kimberley Downs Airport,Australia,Kimberley Downs
KBJ,Kings Canyon Airport,Australia,Kings Canyon Resort
KBV,Krabi Airport,Thailand,Krabi
KCA,Kuqa Airport,China,Kuqa
KCE,Collinsville Airport,Australia,Red Hill
KCZ,Kōchi Ryōma Airport,Japan,Nankoku
KDB,Kambalda Airport,Australia,Kambalda
KDS,Kamaran Downs Airport,Australia,Kamaran Downs
KDT,Kamphaeng Saen Airport,Thailand,Nakhon Pathom
KEL,Kiel-Holtenau Airport,Germany,Kiel
KFE,Fortescue - Dave Forrest Aerodrome,Australia,Cloudbreak Village
KGI,Kalgoorlie Boulder Airport,Australia,Kalgoorlie
KGR,Kulgera Airport,Australia,Kulgera
KGT,Kangding Airport,China,Kangding
KGY,Kingaroy Airport,Australia,Kingaroy
KHG,Kashgar Airport,China,Kashgar
KHH,Kaohsiung International Airport,Taiwan,Kaohsiung City
KHN,Nanchang Changbei International Airport,China,Nanchang
KIJ,Niigata Airport,Japan,Niigata
KIX,Kansai International Airport,Japan,Osaka
KJH,Kaili Airport,China,Huangping
KJI,Kanas Airport,China,Burqin
KJP,Kerama Airport,Japan,Kerama
KKC,Khon Kaen Airport,Thailand,Khon Kaen
KKJ,Kitakyūshū Airport,Japan,Kitakyūshū
KKM,Sa Pran Nak Airport,Thailand,Lop Buri
KKP,Koolburra Airport,Australia,Koolburra
KKX,Kikai Airport,Japan,Kikai
KMG,Kunming Changshui International Airport,China,Kunming
KMI,Miyazaki Airport,Japan,Miyazaki
KMJ,Kumamoto Airport,Japan,Kumamoto
KMQ,Komatsu Airport,Japan,Kanazawa
KNH,Kinmen Airport,Taiwan,Shang-I
KNI,Katanning Airport,Australia,Katanning
KNX,Kununurra Airport,Australia,Kununurra
KOJ,Kagoshima Airport,Japan,Kagoshima
KON,Kontum Airport,Vietnam,Kontum
KOP,Nakhon Phanom Airport,Thailand,Nakhon Phanom
KOQ,Köthen Airport,Germany,Köthen
KOW,Ganzhou Airport,China,Ganzhou
KPO,Pohang Airport (G-815/K-3),South Korea,Pohang
KPP,Kalpowar Airport,Australia,Kalpower
KPS,Kempsey Airport,Australia,Kempsey
KRA,Kerang Airport,Australia,Swan Hill
KRD,Kurundi Airport,Australia,Kurundi Station
KRL,Korla Airport,China,Korla
KRY,Karamay Airport,China,Karamay
KSF,Kassel-Calden Airport,Germany,Kassel
KTA,Karratha Airport,Australia,Karratha
KTD,Kitadaito Airport,Japan,Kitadaitōjima
KTR,Tindal Airport,Australia,Katherine
KUG,Kubin Airport,Australia,Moa Island
KUH,Kushiro Airport,Japan,Kushiro
KUM,Yakushima Airport,Japan,Yakushima
KUV,Kunsan Air Base,South Korea,Kunsan
KWE,Longdongbao Airport,China,Guiyang
KWJ,Gwangju Airport,South Korea,Gwangju
KWL,Guilin Liangjiang International Airport,China,Guilin City
KWM,Kowanyama Airport,Australia,Kowanyama
KYD,Lanyu Airport,Taiwan,Orchid Island
KYI,Yalata Mission Airport,Australia,Yalata Mission
KZG,Flugplatz Kitzingen,Germany,Kitzingen
LBC,Lübeck Blankensee Airport,Germany,Lübeck
LCX,Longyan Guanzhishan Airport,China,Longyan
LDC,Lindeman Island Airport,Australia,Lindeman Island
LDH,Lord Howe Island Airport,Australia,Lord Howe Island
LDS,Lindu Airport,China,Yichun
LDW,Lansdowne Airport,Australia,Lansdowne Station
LEA,Learmonth Airport,Australia,Exmouth
LEJ,Leipzig/Halle Airport,Germany,Leipzig
LFP,Lakefield Airport,Australia,Lakefield
LFQ,Linfen Qiaoli Airport,China,Linfen
LGE,Mulan Airport,Australia,Lake Gregory
LGO,Langeoog Airport,Germany,Langeoog
LHA,Lahr Airport,Germany,Friesenheim
LHG,Lightning Ridge Airport,Australia,Lightning Ridge
LHK,Guangzhou MR Air Base,China,Guanghua
LHW,Lanzhou Zhongchuan Airport,China,Lanzhou
LIA,Liangping Airport,China,Liangping
LIB,Limbunya Airport,Australia,Limbunya
LJG,Lijiang Airport,China,Lijiang
LKD,Lakeland Airport,Australia,Lakeland Downs
LLB,Libo Airport,China,Libo County
LLF,Lingling Airport,China,Yongzhou
LLL,Lissadell Airport,Australia,Lissadell Station
LLV,Lüliang Airport,China,Lüliang
LNH,Lake Nash Airport,Australia,Alpurrurulam
LNJ,Lintsang Airfield,China,Lincang
LNL,Longnan Chengzhou Airport,China,Longnan
LNO,Leonora Airport,Australia,Leonora
LOC,Lock Airport,Australia,Lock
LOE,Loei Airport,Thailand,Loei
LPF,Liupanshui Yuezhao Airport,China,Liupanshui
LPT,Lampang Airport,Thailand,Lampang
LRE,Longreach Airport,Australia,Longreach
LST,Launceston Airport,Australia,Launceston
LSY,Lismore Airport,Australia,Lismore
LTP,Lyndhurst Airport,Australia,Lyndhurst
LTV,Lotus Vale Airport,Australia,Lotus Vale
LUM,Mangshi Airport,China,Luxi
LXA,Lhasa Gonggar Airport,China,Lhasa
LYA,Luoyang Airport,China,Luoyang
LYG,Lianyungang Airport,China,Lianyungang
LYI,Shubuling Airport,China,Linyi
LYT,Lady Elliot Island Airstrip,Australia,Lady Elliot Island
LZH,Liuzhou Bailian Airport,China,Liuzhou
LZN,Matsu Nangan Airport,Taiwan,Nangang Island
LZO,Luzhou Airport,China,Luzhou
LZY,Nyingchi Airport,China,Nyingchi
MAQ,Mae Sot Airport,Thailand,Mae Sot
MBE,Monbetsu Airport,Japan,Monbetsu
MBH,Maryborough Airport,Australia,Maryborough
MBW,Melbourne Moorabbin Airport,Australia,Melbourne
MCV,McArthur River Mine Airport,Australia,McArthur River Mine
MCY,Sunshine Coast Airport,Australia,Maroochydore
MDG,Mudanjiang Hailang International Airport,China,Mudanjiang
MEB,Melbourne Essendon Airport,Australia,Fawkner
MEL,Melbourne International Airport,Australia,Melbourne
MET,Moreton Airport,Australia,Moreton
MFK,Matsu Beigan Airport,Taiwan,Beigan Island
MFL,Mount Full Stop Airport,Australia,Wando Vale
MGB,Mount Gambier Airport,Australia,Mount Gambier
MGL,Mönchengladbach Airport,Germany,Mönchengladbach
MGT,Milingimbi Airport,Australia,Milingimbi Island
MHG,Mannheim-City Airport,Germany,Mannheim
MHU,Mount Hotham Airport,Australia,Mount Hotham
MIG,Mianyang Airport,China,Mianyang
MIH,Mitchell Plateau Airport,Australia,Mitchell Plateau
MIM,Merimbula Airport,Australia,Merimbula
MIZ,Mainoru Airstrip,Australia,Mainoru
MJK,Shark Bay Airport,Australia,Denham
MJP,Manjimup Airport,Australia,Manjimup
MKY,Mackay Airport,Australia,Mackay
MLR,Millicent Airport,Australia,Millicent
MLV,Merluna Airport,Australia,Merluna
MMB,Memanbetsu Airport,Japan,Ōzora
MMD,Minami-Daito Airport,Japan,Minamidaitō
MMJ,Matsumoto Airport,Japan,Matsumoto
MMY,Miyako Airport,Japan,Miyako City
MNE,Mungeranie Airport,Australia,Mungeranie
MNG,Maningrida Airport,Australia,Maningrida
MOV,Moranbah Airport,Australia,Moranbah
MQA,Mandora Airport,Australia,Mandora
MQE,Marqua Airport,Australia,Marqua
MQL,Mildura Airport,Australia,Mildura
MQZ,Margaret River Airport,Australia,Margaret River
MRG,Mareeba Airport,Australia,Mareeba
MRZ,Moree Airport,Australia,Moree
MSJ,Misawa Air Base,Japan,Misawa
MTL,Maitland Airport,Australia,Maitland
MUC,Munich Airport,Germany,Munich
MUQ,Muccan Station Airport,Australia,Muccan Station
MVK,Mulka Airport,Australia,Mulka
MVU,Musgrave Airport,Australia,Musgrave
MWT,Moolawatana Airport,Australia,Moolawatana Station
MWX,Muan International Airport,South Korea,Piseo-ri (Muan)
MWY,Miranda Downs Airport,Australia,Miranda Downs
MXZ,Meixian Airport,China,Meixian
MYA,Moruya Airport,Australia,Moruya
MYE,Miyakejima Airport,Japan,Miyakejima
MYI,Murray Island Airport,Australia,Murray Island
MYJ,Matsuyama Airport,Japan,Matsuyama
MYO,Camballin Airport,Australia,Myroodah
MZG,Makung Airport,Taiwan,Makung City
NAA,Narrabri Airport,Australia,Narrabri
NAC,Naracoorte Airport,Australia,Naracoorte
NAK,Nakhon Ratchasima Airport,Thailand,Nakhon Ratchasima
NAO,Nanchong Airport,China,Nanchong
NAW,Narathiwat Airport,Thailand,Narathiwat
NAY,Beijing Nanyuan Airport,China,Beijing
NBH,Nambucca Heads Airport,Australia,Nambucca Heads
NBS,Changbaishan Airport,China,Baishan
NDG,Qiqihar Sanjiazi Airport,China,Qiqihar
NDS,Sandstone Airport,Australia,Sandstone
NGA,Young Airport,Australia,Young
NGB,Ningbo Lishe International Airport,China,Ningbo
NGO,Chubu Centrair International Airport,Japan,Tokoname
NGQ,Ngari Gunsa Airport,China,Shiquanhe
NGS,Nagasaki Airport,Japan,Nagasaki
NJA,Atsugi Naval Air Facility,Japan,Minami-rinkan
NKG,Nanjing Lukou Airport,China,Nanjing
NKM,Nagoya Airport,Japan,Nagoya
NLF,Darnley Island Airport,Australia,Darnley Island
NLH,Ninglang Luguhu Airport,China,Ninglang
NLT,Xinyuan Nalati Airport,China,Xinyuan County
NMP,New Moon Airport,Australia,Basalt
NNG,Nanning Wuxu Airport,China,Nanning
NNT,Nan Airport,Thailand,Nan
NNY,Nanyang Jiangying Airport,China,Nanyang
NOA,Nowra Airport,Australia,Nowra
NOD,Norden-Norddeich Airport,Germany,Norddeich
NPP,Napperby Airport,Australia,Napperby
NRA,Narrandera Airport,Australia,Narrandera
NRD,Norderney Airport,Germany,Norderney
NRG,Narrogin Airport,Australia,Narrogin
NRN,Weeze Airport,Germany,Weeze
NRT,Narita International Airport,Japan,Tokyo
NRY,Newry Airport,Australia,Newry
NSO,Scone Airport,Australia,Muswellbrook
NST,Nakhon Si Thammarat Airport,Thailand,Nakhon Si Thammarat
NSV,Noosa Airport,Australia,Noosa Heads
NTG,Nantong Airport,China,Nantong
NTL,Newcastle Airport,Australia,Williamtown
NTN,Normanton Airport,Australia,Normanton
NTQ,Noto Airport,Japan,Wajima
NUE,Nuremberg Airport,Germany,Nuremberg
NYN,Nyngan Airport,Australia,Nyngan
NZH,Manzhouli Xijiao Airport,China,Manzhouli
NZL,Chengjisihan Airport,China,Zhalantun
OAG,Orange Airport,Australia,Orange
OBF,Oberpfaffenhofen Airport,Germany,Gilching
OBO,Tokachi-Obihiro Airport,Japan,Obihiro
OCM,Boolgeeda,Australia,Tom Price
ODL,Cordillo Downs Airport,Australia,Cordillo Downs
ODR,Ord River Airport,Australia,Ord River
OHE,Gu-Lian Airport,China,Mohe
OHR,Wyk auf Föhr Airport,Germany,Wyk auf Föhr
OIM,Oshima Airport,Japan,Izu Oshima
OIR,Okushiri Airport,Japan,Okushiri Island
OIT,Oita Airport,Japan,Oita
OKA,Naha Airport,Japan,Naha
OKB,Orchid Beach Airport,Australia,Orchid Beach
OKD,Okadama Airport,Japan,Sapporo
OKE,Okierabu Airport,Japan,Okinoerabujima
OKI,Oki Airport,Japan,Okinoshima
OKJ,Okayama Airport,Japan,Okayama City
OKO,Yokota Air Base,Japan,Fussa
